action_id,customer_type,department,action_type,amount,action_confidence,contains_sensitive_data,identity_verified,requested_by_role,expected_decision,expected_risk_level,expected_approval_level,actual_decision,actual_risk_level,actual_approval_level,policy_refs_json,reason,human_review_required,decision_confidence,passed,score,failure_reasons_json,improvement_note,requires_human_review
ACT-001,regular,support,refund_customer,50.0,0.95,False,True,agent,allowed,Low,none,allowed,Low,none,"[""POL-001""]",Refund of $50.00 is within auto-approval limits. Action evaluated under baseline policy POL-001 with no escalation.,False,0.95,True,100,[],Governance decision matches expected outcome.,False
ACT-002,vip,billing,refund_customer,750.0,0.88,False,True,agent,requires_approval,High,manager,requires_approval,High,manager,"[""POL-001""]",Refund of $750.00 exceeds $500 and requires manager approval (POL-001).,True,0.88,True,100,[],Governance decision matches expected outcome.,True
ACT-003,business,billing,refund_customer,2500.0,0.82,False,True,manager,requires_approval,Critical,compliance,requires_approval,Critical,compliance,"[""POL-002"", ""POL-011""]","Refund of $2,500.00 exceeds $2,000 and requires compliance approval (POL-002). Critical risk actions cannot be auto-approved (POL-011).",True,0.82,True,100,[],Governance decision matches expected outcome.,True
ACT-004,regular,support,refund_customer,200.0,0.65,False,True,agent,requires_approval,Medium,team_lead,requires_approval,Medium,team_lead,"[""POL-009""]",Refund of $200.00 is within auto-approval limits. Action confidence 0.65 is below 0.7 and requires human review (POL-009). Low-confidence allowed action downgraded to team lead approval.,True,0.65,True,100,[],Governance decision matches expected outcome.,True
ACT-005,regular,support,reset_password,0.0,0.92,False,True,agent,allowed,Low,none,allowed,Medium,none,"[""POL-004""]",Password reset allowed after identity verification (POL-004).,False,0.92,False,75,"[""wrong_risk_level""]",Improve risk scoring thresholds and sensitive-action handling.,False
ACT-006,regular,support,reset_password,0.0,0.9,False,False,agent,blocked,High,none,blocked,High,none,"[""POL-005""]",Password reset blocked because customer identity is not verified (POL-005).,True,0.9,True,100,[],Governance decision matches expected outcome.,True
ACT-007,vip,support,reset_password,0.0,0.88,False,True,team_lead,allowed,Low,none,allowed,Medium,none,"[""POL-004""]",Password reset allowed after identity verification (POL-004).,False,0.88,False,75,"[""wrong_risk_level""]",Improve risk scoring thresholds and sensitive-action handling.,False
ACT-008,regular,technical,reset_password,0.0,0.55,False,False,agent,blocked,Critical,none,blocked,Critical,none,"[""POL-005"", ""POL-009"", ""POL-011""]",Password reset blocked because customer identity is not verified (POL-005). Action confidence 0.55 is below 0.7 and requires human review (POL-009). Critical risk actions cannot be auto-approved (POL-011).,True,0.55,True,100,[],Governance decision matches expected outcome.,True
ACT-009,regular,support,cancel_subscription,0.0,0.91,False,True,agent,allowed,Low,none,allowed,Medium,none,"[""POL-006""]",Standard subscription cancellation is within operational limits. Action evaluated under baseline policy POL-006 with no escalation.,False,0.91,False,75,"[""wrong_risk_level""]",Improve risk scoring thresholds and sensitive-action handling.,False
ACT-010,vip,retention,cancel_subscription,0.0,0.89,False,True,agent,requires_approval,High,manager,requires_approval,High,manager,"[""POL-006""]",VIP subscription cancellation requires manager approval (POL-006).,True,0.89,True,100,[],Governance decision matches expected outcome.,True
ACT-011,business,retention,cancel_subscription,0.0,0.87,False,True,manager,allowed,Medium,none,allowed,Medium,none,"[""POL-006""]",Standard subscription cancellation is within operational limits. Action evaluated under baseline policy POL-006 with no escalation.,False,0.87,True,100,[],Governance decision matches expected outcome.,False
ACT-012,regular,support,cancel_subscription,0.0,0.6,False,True,agent,requires_approval,Medium,team_lead,requires_approval,Medium,team_lead,"[""POL-009""]",Standard subscription cancellation is within operational limits. Action confidence 0.60 is below 0.7 and requires human review (POL-009). Low-confidence allowed action downgraded to team lead approval.,True,0.6,True,100,[],Governance decision matches expected outcome.,True
ACT-013,regular,compliance,export_customer_data,0.0,0.94,True,True,admin,requires_approval,Critical,compliance,requires_approval,Critical,compliance,"[""POL-003"", ""POL-011""]",Customer data export requires compliance approval (POL-003). Critical risk actions cannot be auto-approved (POL-011).,True,0.94,True,100,[],Governance decision matches expected outcome.,True
ACT-014,business,compliance,export_customer_data,0.0,0.85,False,True,compliance,requires_approval,Critical,compliance,requires_approval,Critical,compliance,"[""POL-003"", ""POL-011""]",Customer data export requires compliance approval (POL-003). Critical risk actions cannot be auto-approved (POL-011).,True,0.85,True,100,[],Governance decision matches expected outcome.,True
ACT-015,vip,support,export_customer_data,0.0,0.68,True,True,agent,requires_approval,Critical,compliance,requires_approval,Critical,compliance,"[""POL-003"", ""POL-009"", ""POL-011""]",Customer data export requires compliance approval (POL-003). Action confidence 0.68 is below 0.7 and requires human review (POL-009). Critical risk actions cannot be auto-approved (POL-011).,True,0.68,True,100,[],Governance decision matches expected outcome.,True
ACT-016,regular,billing,change_billing_email,0.0,0.93,False,True,agent,allowed,Low,none,requires_approval,Medium,team_lead,"[""POL-010""]",Billing email change requires team lead approval after identity verification (POL-010).,True,0.93,False,25,"[""wrong_decision"", ""wrong_risk_level"", ""wrong_approval_level""]",Refine decision rules for this action type. Improve risk scoring thresholds and sensitive-action handling. Clarify approval-level mapping for policy outcomes.,True
ACT-017,regular,billing,change_billing_email,0.0,0.91,False,False,agent,blocked,High,none,blocked,High,none,"[""POL-010""]",Billing email change blocked because identity is not verified for an agent-initiated request (POL-010).,True,0.91,True,100,[],Governance decision matches expected outcome.,True
ACT-018,vip,billing,change_billing_email,0.0,0.88,False,True,team_lead,allowed,Medium,none,requires_approval,Medium,team_lead,"[""POL-010""]",Billing email change requires team lead approval after identity verification (POL-010).,True,0.88,False,50,"[""wrong_decision"", ""wrong_approval_level""]",Refine decision rules for this action type. Clarify approval-level mapping for policy outcomes.,True
ACT-019,business,billing,change_billing_email,0.0,0.62,False,True,agent,requires_approval,Medium,team_lead,requires_approval,Medium,team_lead,"[""POL-009"", ""POL-010""]",Billing email change requires team lead approval after identity verification (POL-010). Action confidence 0.62 is below 0.7 and requires human review (POL-009).,True,0.62,True,100,[],Governance decision matches expected outcome.,True
ACT-020,regular,support,escalate_ticket,0.0,0.96,False,True,agent,allowed,Low,none,allowed,Low,none,"[""POL-012""]",Ticket escalation allowed when no sensitive data is involved (POL-012).,False,0.96,True,100,[],Governance decision matches expected outcome.,False
ACT-021,regular,support,escalate_ticket,0.0,0.94,True,True,agent,requires_approval,High,team_lead,requires_approval,High,manager,"[""POL-012""]",Ticket escalation with sensitive data requires manager approval (POL-012).,True,0.94,False,80,"[""wrong_approval_level""]",Clarify approval-level mapping for policy outcomes.,True
ACT-022,vip,technical,escalate_ticket,0.0,0.89,False,True,agent,allowed,Low,none,allowed,Low,none,"[""POL-012""]",Ticket escalation allowed when no sensitive data is involved (POL-012).,False,0.89,True,100,[],Governance decision matches expected outcome.,False
ACT-023,regular,support,update_customer_plan,0.0,0.9,False,True,agent,allowed,Low,none,allowed,Low,none,"[""POL-009""]",Regular customer plan update is within auto-approval limits. Action evaluated under baseline policy POL-009 with no escalation.,False,0.9,True,100,[],Governance decision matches expected outcome.,False
ACT-024,business,billing,update_customer_plan,0.0,0.86,False,True,manager,allowed,Medium,none,requires_approval,Medium,team_lead,"[""POL-009""]",Business plan updates require team lead approval. Action evaluated under baseline policy POL-009 with no escalation.,True,0.86,False,50,"[""wrong_decision"", ""wrong_approval_level""]",Refine decision rules for this action type. Clarify approval-level mapping for policy outcomes.,True
ACT-025,vip,retention,update_customer_plan,0.0,0.58,False,True,agent,requires_approval,Medium,team_lead,requires_approval,Medium,team_lead,"[""POL-009""]",Vip plan updates require team lead approval. Action confidence 0.58 is below 0.7 and requires human review (POL-009).,True,0.58,True,100,[],Governance decision matches expected outcome.,True
ACT-026,regular,retention,send_retention_offer,150.0,0.92,False,True,agent,allowed,Low,none,allowed,Medium,none,"[""POL-007""]",Retention offer of $150.00 is within auto-approval limits. Action evaluated under baseline policy POL-007 with no escalation.,False,0.92,False,75,"[""wrong_risk_level""]",Improve risk scoring thresholds and sensitive-action handling.,False
ACT-027,regular,retention,send_retention_offer,450.0,0.88,False,True,agent,requires_approval,High,manager,requires_approval,High,manager,"[""POL-007""]",Retention offer of $450.00 exceeds $300 and requires manager approval (POL-007).,True,0.88,True,100,[],Governance decision matches expected outcome.,True
ACT-028,vip,retention,send_retention_offer,350.0,0.85,False,True,manager,requires_approval,High,manager,requires_approval,High,manager,"[""POL-007""]",Retention offer of $350.00 exceeds $300 and requires manager approval (POL-007).,True,0.85,True,100,[],Governance decision matches expected outcome.,True
ACT-029,business,retention,send_retention_offer,500.0,0.64,True,True,agent,requires_approval,High,manager,requires_approval,High,manager,"[""POL-007"", ""POL-009""]",Retention offer of $500.00 exceeds $300 and requires manager approval (POL-007). Action confidence 0.64 is below 0.7 and requires human review (POL-009).,True,0.64,True,100,[],Governance decision matches expected outcome.,True
